id,name,lat,lon
restaurant_85064,"Popeyes 6105 Ringgold Road Eastridge, Tennessee 37412 - USA",34.990387,-85.214934
restaurant_86585,"Popeyes 1860 Highway 53 West Jasper, Georgia 30143 - USA",34.465549,-84.461966
restaurant_82343,"Popeyes 2330 Ronald Reagan Pkwy Snellville, Georgia 30078 - USA",33.872917,-84.016014
restaurant_241364,"Popeyes 5590 Thomaston Rd Macon, Macon, Georgia 31220 - USA",32.833798,-83.744669
restaurant_239870,"Popeyes 501 North Highway 49 Byron, Georgia 31008 - USA",32.663668,-83.739395
restaurant_238006,"Popeyes 5945 Bethelview Road Cumming, Georgia 30040 - USA",34.165383,-84.176842
restaurant_86682,"Popeyes 6623 US Hwy 49 Hattiesburg, Mississippi 39401 - USA",31.353617,-89.343651
restaurant_86767,"Popeyes 3248 Highway 278 Covington, Georgia 30014 - USA",33.602492,-83.855284
restaurant_83103,"Popeyes 5900 Hwy 49 South Hattiesburg, Mississippi 39401 - USA",31.309742,-89.31844
restaurant_86686,"Popeyes 1508 Sam Nunn Boulevaard Perry, Georgia 31069 - USA",32.474039,-83.74589
restaurant_85593,"Popeyes 3190 US HIghway 49 Collins, Mississippi 39428 - USA",31.631983,-89.554894
restaurant_241606,"Popeyes 3980 Northside Dr Macon Macon, Georgia 31210 - USA",32.8982,-83.701767
restaurant_84469,"Popeyes 290 Grayson Hwy Lawrenceville, Georgia 30046 - USA",33.9448,-83.98424
restaurant_82804,"Popeyes 3246 Mercer University Dr Macon, Georgia 31204 - USA",32.822365,-83.683527
restaurant_83285,"Popeyes 985 Market Place Blvd Cumming, Georgia 30041 - USA",34.184391,-84.132279
restaurant_82218,"Popeyes 5034 Hwy 98 W Hattiesburg, Mississippi 39402 - USA",31.322025,-89.371107
restaurant_87987,"Popeyes 716 Lake Joy Rd. Warner Robins, Georgia 31088 - USA",32.553786,-83.690758
restaurant_85615,"Popeyes 9201 Grand Bay Wilmer Road Grand Bay, Alabama 36541 - USA",30.498467,-88.33363
restaurant_85491,"Popeyes 4428 Hwy 58 Chattanooga, Tennessee 37416 - USA",35.083834,-85.201119
restaurant_84522,"Popeyes 1599 Simpson Highway 49 Magee, Mississippi 39111 - USA",31.867974,-89.743493
restaurant_235634,"Popeyes 2300 Watson Blvd Warner Robins, Georgia 31088 - USA",32.618692,-83.661223
restaurant_235214,"Popeyes 290 Lee Byrd Rd Loganville, Georgia 30052 - USA",33.833565,-83.881722
restaurant_82714,"Popeyes 1515 E Union St Vienna, Georgia 31092 - USA",32.087057,-83.765848
restaurant_87109,"Popeyes Nelson Brogdon Blvd (GA Hwy 20) Buford, Georgia 30153 - USA",34.098171,-84.015038
restaurant_242060,"Popeyes 2925 Buford Dr Suite 1605 Buford GA, Georgia 30519 - USA",34.064705,-83.984115
restaurant_82492,"Popeyes 744 Russell Pkwy Warner Robins, Georgia 31088 - USA",32.594361,-83.63611
restaurant_82716,"Popeyes 742 Shurling Dr Macon, Georgia 31211 - USA",32.860034,-83.612469
restaurant_84029,"Popeyes 747 Sunset Dr Grenada, Mississippi 38901 - USA",33.768673,-89.811333
restaurant_238174,"Popeyes 1414 Tallahassee Hwy Bainbridge, Georgia 39819 - USA",30.885729,-84.566027
restaurant_87978,"Popeyes 1101 N Main St. Shelbyville, Tennessee 37160 - USA",35.498403,-86.458241
restaurant_84653,"Popeyes (Military Post Access Required) 982 Macon St Warner Robins, Georgia 31098 - USA",32.598049,-83.581976
restaurant_89430,"Popeyes 105 Lite-N-Tie Rd. Gray, Georgia 31032 - USA",32.99842,-83.554607
restaurant_878331,"Popeyes 108 Pine Needle Way Flowood, Mississippi 39232 - USA",32.355722,-90.021669
restaurant_82028,"Popeyes 1501 Ohio Ave Lynn Haven, Florida 32444 - USA",30.235784,-85.648534
restaurant_82194,"Popeyes 1418 W Peace St Canton, Mississippi 39046 - USA",32.60805,-90.0652
restaurant_82579,"Popeyes 1410 W Government St Brandon, Mississippi 39042 - USA",32.284194,-90.019184
restaurant_82620,"Popeyes 2624 West Jackson Avenue Oxford, Mississippi 38655 - USA",34.361204,-89.569695
restaurant_237667,"Popeyes 429 Power Center Drive Dawsonville, Georgia 30534 - USA",34.35888,-84.04192
restaurant_84168,"Popeyes 955 E Spring St Monroe, Georgia 30655 - USA",33.801438,-83.700753
restaurant_85207,"Popeyes 2711 Highway 231 North Panama City, Florida 32405 - USA",30.201436,-85.624636
restaurant_83387,"Popeyes 1113 Frontage Dr E Wiggins, Mississippi 39577 - USA",30.842129,-89.142162
